[13:34:55.480] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 771, time_diff = 771, curr_tstamp = 48634405, prev_tstamp = 48633634, diff_repr = 12, milli_hex = 0, micro_hex = 12
[13:34:55.480] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 2, meta.microsecs = 341, time_diff = 2389, curr_tstamp = 48634947, prev_tstamp = 48632558, diff_repr = 37, milli_hex = 2, micro_hex = 5
[13:34:55.481] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 744, time_diff = 744, curr_tstamp = 48635149, prev_tstamp = 48634405, diff_repr = 11, milli_hex = 0, micro_hex = 11
[13:34:55.482] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 525, time_diff = 525, curr_tstamp = 48635674, prev_tstamp = 48635149, diff_repr = 8, milli_hex = 0, micro_hex = 8
[13:34:55.483] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 216, time_diff = 1240, curr_tstamp = 48636187, prev_tstamp = 48634947, diff_repr = 19, milli_hex = 1, micro_hex = 3
[13:34:55.484] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 778, time_diff = 778, curr_tstamp = 48636452, prev_tstamp = 48635674, diff_repr = 12, milli_hex = 0, micro_hex = 12
[13:34:55.485] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 112, time_diff = 1136, curr_tstamp = 48637323, prev_tstamp = 48636187, diff_repr = 17, milli_hex = 1, micro_hex = 1
[13:34:55.486] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 669, time_diff = 1693, curr_tstamp = 48639016, prev_tstamp = 48637323, diff_repr = 26, milli_hex = 1, micro_hex = 10
[13:34:55.486] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 856, time_diff = 856, curr_tstamp = 48639872, prev_tstamp = 48639016, diff_repr = 13, milli_hex = 0, micro_hex = 13
[13:34:55.487] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 4, meta.microsecs = 541, time_diff = 4637, curr_tstamp = 48641089, prev_tstamp = 48636452, diff_repr = 72, milli_hex = 4, micro_hex = 8
[13:34:55.488] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 774, time_diff = 1798, curr_tstamp = 48641670, prev_tstamp = 48639872, diff_repr = 28, milli_hex = 1, micro_hex = 12
[13:34:55.489] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 2, meta.microsecs = 497, time_diff = 2545, curr_tstamp = 48643634, prev_tstamp = 48641089, diff_repr = 39, milli_hex = 2, micro_hex = 7
[13:34:55.490] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 3, meta.microsecs = 269, time_diff = 3341, curr_tstamp = 48645011, prev_tstamp = 48641670, diff_repr = 52, milli_hex = 3, micro_hex = 4
[13:34:55.491] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 631, time_diff = 1655, curr_tstamp = 48645289, prev_tstamp = 48643634, diff_repr = 25, milli_hex = 1, micro_hex = 9
[13:34:55.492] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 1011, time_diff = 1011, curr_tstamp = 48646300, prev_tstamp = 48645289, diff_repr = 15, milli_hex = 0, micro_hex = 15
[13:34:55.492] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 773, time_diff = 1797, curr_tstamp = 48646808, prev_tstamp = 48645011, diff_repr = 28, milli_hex = 1, micro_hex = 12
[13:34:55.493] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 588, time_diff = 1612, curr_tstamp = 48648420, prev_tstamp = 48646808, diff_repr = 25, milli_hex = 1, micro_hex = 9
[13:34:55.494] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 2, meta.microsecs = 276, time_diff = 2324, curr_tstamp = 48648624, prev_tstamp = 48646300, diff_repr = 36, milli_hex = 2, micro_hex = 4
[13:34:55.495] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 2, meta.microsecs = 553, time_diff = 2601, curr_tstamp = 48651225, prev_tstamp = 48648624, diff_repr = 40, milli_hex = 2, micro_hex = 8
[13:34:55.496] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 3, meta.microsecs = 228, time_diff = 3300, curr_tstamp = 48651720, prev_tstamp = 48648420, diff_repr = 51, milli_hex = 3, micro_hex = 3
[13:34:55.497] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 491, time_diff = 1515, curr_tstamp = 48652740, prev_tstamp = 48651225, diff_repr = 23, milli_hex = 1, micro_hex = 7
[13:34:55.498] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 264, time_diff = 1288, curr_tstamp = 48654028, prev_tstamp = 48652740, diff_repr = 20, milli_hex = 1, micro_hex = 4
[13:34:55.498] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 2, meta.microsecs = 663, time_diff = 2711, curr_tstamp = 48654431, prev_tstamp = 48651720, diff_repr = 42, milli_hex = 2, micro_hex = 10
[13:34:55.499] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 764, time_diff = 764, curr_tstamp = 48654792, prev_tstamp = 48654028, diff_repr = 11, milli_hex = 0, micro_hex = 11
[13:34:55.500] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 557, time_diff = 1581, curr_tstamp = 48656373, prev_tstamp = 48654792, diff_repr = 24, milli_hex = 1, micro_hex = 8
[13:34:55.501] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 2, meta.microsecs = 487, time_diff = 2535, curr_tstamp = 48656966, prev_tstamp = 48654431, diff_repr = 39, milli_hex = 2, micro_hex = 7
